id	en	en_US	ja	es	ru	de	it	se	pt_BR	es_US	pl	zh	tr	fr
														
Sonic & Shahra's lines must end in '_so' & '_sh' respectively.	Retail English Translation.	Windii's Japanese-accurate translation.	Retail Japanese Translation	Aoi's Spanish Translation	Dark Sonic's Russian Translation	A Blob, Milonoto, Elements of Justice & Dark's German Translation	Luken's & LimeWeb's Italian Translation	Johan23t's Swedish Translation	Skyer, Tio Illuminati & AlvinGoldhart's Brazilian Portuguese Translation	kawaiikaorichan's Latin American Spanish Translation	Eveefun Polish Translation (Bartek too kinda)	Vexion's Chinese Translation	Türkmander's Turkish Translation	Armetz, EeveelutionsN1 & s3nkuuv's French Translation 
														
														
secret_rings_title	Sonic and the Secret Rings		ソニックと秘密のリング	Sonic y los Anillos Secretos	Соник и Мировые кольца	Sonic und die Geheimen Ringe	Sonic e gli Anelli Segreti	Sonic och de Hemliga Ringarna	Sonic and the Secret Rings	Sonic y los Anillos Secretos	Sonic i Sekretne Pierścienie	音速小子與秘密戒指	Sonic ve Gizli Yüzükler	Sonic and the Secret Rings 
any_button	Press Any Button			Pulsa cualquier botón	Нажмите любую кнопку	Beliebige Taste Drücken	Premi Qualunque Tasto	Tryck På Valfri Knapp	Pressione qualquer botão	Presiona cualquier botón	Wciśnij dowolny przycisk	按下任意按鈕	Herhangi Bir Tuşa Bas	Appuyez sur n'importe quel bouton
														
system							Sistema		Sistema	Sistema	System	system	sistem	Système
														
load_level	Loading Mission		ミーションロードする	Cargando Misión	Загрузка миссии	Mission wird geladen	Caricamento Missione	Laddar Uppdrag	Carregando Missão	Cargando misión	Wczytywanie Misji	任務載入中	Görev Yükleniyor	Chargement de la Mission
load_probes	Loading Lights		光をロードする	Cargando Sondas de Luz	Загрузка данных освещения	Lichtsonden werden geladen	Caricamento delle Sonde di Luce	Laddar Ljussoner	Carregando Sondas de Luz	Cargando luces	Wczytywanie Próbek Światła	光探頭載入中	Işık Verileri Yükleniyor	Chargement des Sondes Lumineuses
sys_no_save	Cannot write to a save file.\nEnsure the location in saveLocation.txt has write access.		セーブできません。\nsaveLocation.txtの場所が書き込み可能であることを確認してください。	No se pudo sobreescribir el archivo de guardado.\nAsegúrate de que la ruta en saveLocation.txt tiene permiso de escritura.	Не удаётся записать данные в файл сохранения.\nУбедитесь, что для папки, указанной в файле """saveLocation.txt""", имеется право на запись.	Kann Spielstand nicht schreiben.\nSchau nach, ob der Speicherort in saveLocation.txt Schreibzugriff erlaubt.				No se puede crear un archivo de guardado.\nAsegúrate de que la ruta en saveLocation.txt tiene permiso de escritura.		無法寫入存檔資料。\n請確保 saveLocation.txt 內之存檔位置有寫入權限。	Kayıt dosyasına yazılamıyor.\nsaveLocation.txt dosyasında belirtilen konumun yazma iznine sahip olduğundan emin olun.	
sys_progression	Progress the story by playing the missions with an exclaimation mark next to them.			Progresa en la historia completando las misiones que tienen un signo de exclamación.	Продвигайтесь по сюжету, выполняя миссии, отмеченные восклицательным знаком.	Bring die Geschichte voran, indem du Missionen mit einem Ausrufezeichen spielst.				Progresa en la historia jugando las misiones con un signo de exclamación.		遊玩附有驚嘆號的任務就能推進故事。	Yanlarında ünlem işareti bulunan görevleri oynayarak hikayede ilerleyin.	
														
sys_select	Select		けってい	Seleccionar	Выбрать	Auswählen	Seleziona	Välj	Selecionar	Seleccionar	Wybierz	選擇	Seç	Accepter
sys_cancel	Cancel		もどる	Atrás	Отмена	Abbrechen	Cancella	Avbryt	Cancelar	Cancelar	Anuluj	取消	İptal	Retour
sys_yes	Yes		はい	Sí	Да	Ja	Si	Ja	Sim	Sí	Tak	是	Evet	Oui
sys_no	No		いいえ	No	Нет	Nein	No	Nej	Não	No	Nie	否	Hayır	Non
sys_delete	Delete		デリート	Borrar	Удалить	Löschen	Cancella	Radera	Deletar	Borrar	Usuń	刪除	Sil	Effacer
sys_clear	Clear		クリア	Vacíar	Стереть	Leeren	Libera	Rensa	Limpar	Limpiar	Wyczyść	清除	Temizle	Vider
sys_delete_description	Are you sure you want to delete this save file?		このデータを削除します。\nよろしいですか?	¿Deseas borrar el archivo de guardado?	Вы уверены, что хотите\nудалить данное сохранение?	Bist du sicher, dass du diesen Spielstand löschen willst?	Sei sicuro di voler cancellare questo salvataggio?	Är du säker på att du vill radera den här sparfilen?	Deseja mesmo excluir este jogo salvo?	¿Seguro(a) que quieres borrar estos datos?	Czy na pewno chcesz usunąć ten zapis gry?	您確定要刪除此存檔資料？	Bu kayıt dosyasını silmek istediğinden emin misin?	Voulez-vous vraiment supprimer cette sauvegarde ?
sys_control_mode_description	Select a control style.		コントロールスタイルを選んでください。	Selecciona el tipo de control.	Выберите стиль управления.	Wähle einen Steuerungs-Stil aus.	Seleziona un tipo di controllo.	Välj en kontrollstil.	Escolha um tipo de jogabilidade.	Elige un modo de control.	Wybierz styl kontrolowania.	選擇控制風格。	Bir kontrol tarzı seç.	Sélectionnez un style de commande
sys_control_mode_reconfig	You can always change this through the skill select menu.		いつでもスキルセレクトで変えてできる。	Puedes cambiarlo en cualquier momento desde el menu de las habilidades.	Вы всегда можете изменить его\nчерез меню выбора навыка.	Du kannst dies zu jederzeit mittels dem Skill-Menü ändern.	Puoi sempre cambiarlo dal menù delle abilità.	Du kan alltid ändra detta via färdighetsvalsmenyn.	Você sempre pode alterar isso pelo menu de habilidades.	Podrás cambiarlo en el menú de selección de habilidades.	Zawsze możesz to zmienić w menu wybierania talentów.	你可以在技能選單變更此設定。	Bunu dilediğin zaman yetenek seçim menüsünden değiştirebilirsin.	Vous pouvez toujours modifier cela via le menu de sélection des compétences.
sys_retail_control	Retail		オリジナル	Original	Оригинал	Original	Originale		Original	Original	Oryginalny	原版	Orjinal	Original
sys_reignited_control	Reignited		リイグニション	Nuevo	Ремейк	Reignition	Reignited	Återantändes	Reignited	Reencendido	Odnowiony	Reignited	Alevli	Reignition
sys_traditional_control	Traditional		伝統的な	Tradicional	Классика	Traditionell	Tradizionale	Traditionell	Livre	Tradicional	Tradycyjny	傳統	Geleneksel	Traditionnel
sys_retail_description	Mimics the original Wii game's autorun and charge jump.\nRecommended for purists.		WIIのオートランとチャージジャンプを写す。\nピュアリスト向け。	Mantiene el avance automático y el salto con carga del juego original.\nRecomendado para los puristas.	Имитирует автобег и прыжок с зарядом\nиз оригинальной игры для Wii.\nРекомендуется для ценителей оригинала.	Ahmt die Original-Steuerung nach.\nSprünge müssen hier, bevor man springt, zuerst\naufgeladen werden + automatisiertes Vorwärtslaufen.\nEmpfohlen für Puristen.	Imita la corsa automatica e il salto caricato del gioco Wii originale.\nConsigliato ai puristi.	Efterliknar det ursprungliga Wii-spelets autostart och laddningshopp.\nRekommenderas för purister.	Mantém a Corrida Automatica e o Pulo Carregado do jogo original de Wii.\nRecomendado para puristas.	Imita el movimiento automático y el salto cargado del Wii.\nRecomendado para puristas.	Mimikuje auto-bieg i ładowany skok z oryginalnej gry na Wii.\nZalecane dla purystów.	採用原始Wii版的自動奔跑與蓄力跳躍。\n適合純粹派玩家。	Orijinal Wii oyunundaki otomatik koşma ve şarjlı zıplama mekaniklerini taklit eder. \nOrijinal deneyimden ödün vermeyenler için önerilir. 	Reproduit la course automatique et le saut chargé du jeu Wii original ; recommandé aux puristes.
sys_reignited_description	Updates the core on-rails style gameplay for modern controllers.\nRecommended for most players.		レール型の操作を現代のコントローラー向けに刷新。\n一般向け。	Actualiza la jugabilidad """sobre raíles""" a una afín con los métodos de control modernos.\nRecomendado para la mayoría de jugadores.	Обновляет основной геймплей в стиле\n"""по рельсам""" для современных геймпадов.\nРекомендуется для большинства игроков.	Aufgefrischte Steuerung für moderne Gamepads.\nEmpfohlen für die meisten Spieler.	Aggiorna lo stile di gioco sulla ringhiera per controller moderni.\nRaccomandato per la maggior parte dei giocatori.	Uppdaterar det centrala spelupplägget i on-rails stil för moderna handkontroller.\nRekommenderas för de flesta spelare.	Atualiza a jogabilidade linear para controles modernos.\nRecomendado para a maioria dos jogadores.	Actualiza la jugabilidad lineal del juego para adaptarla a los controles modernos.\nRecomendado para la mayoría.	Aktualizuje rozgrywkę z ustaloną ścieżką dla nowoczesnych kontrolerów.\nZalecane dla większości graczy.	將軌道式操作重新調整為適合現代控制器的方式。\n適合一般向玩家。	Temel sabit rotalı oynanış tarzını modern kontrolcüler için günceller.\nÇoğu oyuncu için önerilir.	Le gameplay « sur rails » sont adapté aux manettes modernes.\nRecommandé pour la plupart des joueurs.
sys_traditional_description	Removes the on-rails control style entirely,\nbut may feel at odds with the level design.\nRecommended for players who know what they want.		レール型の操作を撤廃。\nレベルデザインとしっくりこない可能性あり。\n自分のスタイルのプレイヤー向け。	Elimina por completo la jugabilidad """sobre raíles""".\nRecomendado para jugadores experimentados que buscan\ncontroles más parecidos a otros juegos de Sonic.	Полностью отключает стиль управления """по рельсам""".\nРекомендуется опытным игрокам,\nкоторые знают, чего хотят.	Ähnelt einem traditionellen 3D-Platformer.\nDies funktioniert an manchen Stellen mit dem Level-Design nicht so gut.\nGenerell nicht empfehlenswert, aber hier für die, welche\nsich nicht an die Reignition-Steuerung gewöhnen konnten.	Rimuove lo stile sulla ringhiera interamente.\nRaccomandato per giocatori esperti che sanno cosa vogliono.	Tar bort on-rails kontrollstilen helt,\nmen kan kännas oförenlig med nivådesignen.\nRekommenderas för spelare som vet vad de vill.	Remove a jogabilidade linear por completo.\nRecomendado para jogadores experientes.	Remueve el sistema lineal por completo,\naunque podría chocar con el diseño de los niveles.\nRecomendado para quienes saben lo que quieren.	Kompletnie pozbywa się stylu rozgrywki ustalonej ścieżki.\nZalecane dla doświadczonych graczy, którzy wiedzą czego chcą.	取消軌道式操作。\n可能會與關卡設計不太契合。\n適合依照自己風格遊玩的玩家。	Raylı kontrol tarzını tamamen kaldırır.\n Ne istediğini bilen deneyimli oyuncular için önerilir.	Supprimer totalement le style de contrôle « sur rails »,\nbien que cela puisse sembler en décalage avec le level design.\nRecommandé aux joueurs qui savent ce qu'ils veulent.
sys_retry	Retry		リトライ	Otra Vez	Заново	Erneut versuchen	Ricomincia	Försök igen	Reiniciar	Reintentar	Powtórz	重來	Tekrarla	Recommencer 
sys_next	Next		つぎへ	Continuar	Далее	Weiter	Prossimo	Nästa	Continuar	Continuar	Dalej	繼續	Sonraki	Suivant 
sys_back	Back		もどる	Atrás	Назад	Zurück	Indietro	Tillbaka	Voltar	Volver	Wróć	後退	Geri	Avant
sys_return	Return		もどる	Volver	Назад	Zurück	Ritorna	Återvänd	Retornar	Regresar	Powrót	返回	Geri dön	Retour
sys_skip	Skip		スキップ	Saltar	Пропустить	Überspringen	Salta	Hoppa Över	Pular	Saltar	Pomiń	跳過	Geç	Passer
sys_quit	Quit		やめる	Salir	Выход	Verlassen	Esci dal Gioco	Avsluta	Sair	Salir	Wyjdź	退出	Çık	Quitter 
sys_quit_description	Quit the Game?		ゲームをやめてします。\nよろしいですか?	¿Quieres Salir del Juego?	Выйти из игры?	Spiel verlassen?	Abbandonare il Gioco?	Avsluta spelet?	Sair do Jogo?	¿Quieres cerrar el juego?	Wyjść z gry?	退出遊戲？	Oyundan çıkılsın mı?	Quitter le jeu ? 
sys_presets	Presets		プリセット	Conjuntos	Шаблон	Voreinstellungen	Preimpostazioni	Förinställningar	Conjuntos	Conjuntos de habilidades	Szablony	技能組合	Ön ayarlar	Préréglages
sys_save	Save		セーブ	Guardar	Сохранить	Speichern	Salvataggio	Spara	Salvar	Guardar	Zapisz	儲存	Kaydet	Sauvegarder
sys_overwrite	Overwrite		オーバーライト	Sobrescribir	Перезаписать	Überschreiben	Sovrascrivere	Skriv över	Sobrescrever	Sobrescribir	Nadpisz	覆寫	Üstüne yaz	Ecraser
sys_load	Load		ロード	Cargar	Загрузить	Laden	Carica	Ladda	Carregar	Cargar	Wczytaj	載入	Yükle	Charger
